symbol
UNH
JNJ
PG
KO
PEP
COST
HD
LOW
DIS
NFLX
ADBE
CRM
ORCL
INTC
AMD
QCOM
IBM
CSCO
TXN
AVGO
PYPL
V
MA
BAC
WFC
GS
MS
C
PFE
MRK
ABBV
LLY
TMO
ABT
DHR
UNP
HON
CAT
DE
BA
GE
MMM
LMT
RTX
CVX
COP
SLB
NEE
DUK
SO
LIN
APD
PLD
AMT
SPG
T
VZ
CMCSA
TMUS
SBUX
MCD
NKE
TGT
F
GM
